FMT,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS, 8497641, 0, 3, 221156199, 2252, 18, 1.16, 52.5259684, 13.3143356, 65.51, 0.06527634, 174.7261, 0.064, 0, 1
GPS, 8697741, 0, 3, 221156399, 2252, 18, 1.16, 52.5259684, 13.3143356, 65.49, 0.0230868, 197.6501, -0.044, 0, 1
GPS, 8897723, 0, 3, 221156599, 2252, 18, 0.64, 52.5259685, 13.3143357, 65.49, 0.02701851, 51.009, -0.027, 0, 1
GPS, 9097727, 0, 3, 221156799, 2252, 18, 0.64, 52.5259686, 13.3143357, 65.49, 0.013, 22.61986, -0.043, 0, 1
GPS, 9297781, 0, 3, 221156999, 2252, 18, 0.64, 52.5259687, 13.3143357, 65.48, 0.01529706, 191.3099, -0.063, 0, 1
GPS, 9497876, 0, 3, 221157199, 2252, 18, 0.64, 52.5259687, 13.3143357, 65.47, 0.005, 0, -0.018, 0, 1
GPS, 9697881, 0, 3, 221157399, 2252, 18, 0.64, 52.5259688, 13.3143357, 65.46, 0.03324154, 74.29136, -0.116, 0, 1
GPS, 9897908, 0, 3, 221157599, 2252, 18, 0.64, 52.5259688, 13.3143357, 65.46, 0.005, 0, -0.039, 0, 1
GPS, 10097855, 0, 3, 221157799, 2252, 18, 0.64, 52.5259689, 13.3143357, 65.45, 0.01931321, 338.7495, -0.074, 0, 1
GPS, 10297864, 0, 3, 221157999, 2252, 18, 0.64, 52.525969, 13.3143357, 65.45, 0.009848858, 336.0375, -0.08800001, 0, 1
GPS, 10497975, 0, 3, 221158199, 2252, 18, 0.64, 52.525969, 13.3143357, 65.44, 0.009219545, 319.3987, 0.024, 0, 1
GPS, 10697917, 0, 3, 221158399, 2252, 18, 0.64, 52.525969, 13.3143357, 65.43, 0.01118034, 333.4349, 0.001, 0, 1
GPS, 10898192, 0, 3, 221158599, 2252, 18, 0.64, 52.5259691, 13.3143358, 65.44, 0.02906889, 40.81508, 0.003, 0, 1
GPS, 11098160, 0, 3, 221158799, 2252, 18, 0.64, 52.5259691, 13.3143358, 65.42, 0.009848858, 23.96249, -0.118, 0, 1
GPS, 11298133, 0, 3, 221158999, 2252, 18, 0.64, 52.5259691, 13.3143358, 65.42, 0.02308679, 274.9697, -0.018, 0, 1
GPS, 11498155, 0, 3, 221159199, 2252, 18, 0.64, 52.525969, 13.3143357, 65.41, 0.01442221, 123.6901, -0.137, 0, 1
GPS, 11698141, 0, 3, 221159399, 2252, 18, 0.64, 52.525969, 13.3143358, 65.42, 0.01118034, 116.565, -0.003, 0, 1
GPS, 11898158, 0, 3, 221159599, 2252, 18, 0.64, 52.525969, 13.3143358, 65.4, 0.01711724, 96.70983, -0.034, 0, 1
GPS, 12098175, 0, 3, 221159799, 2252, 18, 0.64, 52.525969, 13.3143358, 65.37, 0.01345363, 318.0128, -0.053, 0, 1
GPS, 12318279, 0, 3, 221159999, 2252, 18, 0.64, 52.525969, 13.3143358, 65.35, 0.02404163, 73.07248, -0.016, 0, 1
GPS, 12498272, 0, 3, 221160199, 2252, 18, 0.64, 52.525969, 13.3143358, 65.34, 0.01118034, 63.43495, -0.002, 0, 1
GPS, 12698176, 0, 3, 221160399, 2252, 18, 0.64, 52.525969, 13.3143358, 65.32, 0.01920937, 308.6598, -0.001, 0, 1
GPS, 12898290, 0, 3, 221160599, 2252, 18, 0.64, 52.525969, 13.3143358, 65.31, 0.04459821, 47.72631, 0.011, 0, 1
GPS, 13098183, 0, 3, 221160799, 2252, 18, 0.64, 52.525969, 13.3143359, 65.3, 0.01552418, 284.9314, -0.027, 0, 1
GPS, 13298182, 0, 3, 221160999, 2252, 18, 0.64, 52.525969, 13.3143359, 65.29, 0.01220656, 55.00798, -0.101, 0, 1
GPS, 13498189, 0, 3, 221161199, 2252, 18, 0.64, 52.525969, 13.3143359, 65.29, 0.04, 36.8699, -0.04, 0, 1
GPS, 13698164, 0, 3, 221161399, 2252, 18, 0.64, 52.5259691, 13.314336, 65.28, 0.01910497, 6.009006, 0.029, 0, 1
GPS, 13898187, 0, 3, 221161599, 2252, 18, 0.64, 52.525969, 13.3143359, 65.26, 0.009219544, 49.3987, -0.127, 0, 1
GPS, 14098227, 0, 3, 221161799, 2252, 18, 0.64, 52.525969, 13.3143359, 65.27, 0.04205948, 28.39302, -0.136, 0, 1
GPS, 14318192, 0, 3, 221161999, 2252, 18, 0.64, 52.525969, 13.314336, 65.27, 0.02941088, 54.68878, 0.02, 0, 1
GPS, 14518228, 0, 3, 221162199, 2252, 18, 0.64, 52.525969, 13.314336, 65.26, 0.0286007, 36.46923, -0.062, 0, 1
GPS, 14698147, 0, 3, 221162399, 2252, 18, 0.64, 52.525969, 13.3143361, 65.26, 0.004472136, 333.4349, -0.038, 0, 1
GPS, 14898135, 0, 3, 221162599, 2252, 18, 0.64, 52.5259689, 13.3143361, 65.25, 0.02863564, 167.9052, -0.015, 0, 1
GPS, 15098170, 0, 3, 221162799, 2252, 18, 0.64, 52.5259688, 13.3143361, 65.23, 0.03935734, 117.2161, -0.086, 0, 1
GPS, 15298196, 0, 3, 221162999, 2252, 18, 0.64, 52.5259687, 13.3143361, 65.23, 0.0286531, 60.75117, -0.042, 0, 1
GPS, 15498192, 0, 3, 221163199, 2252, 18, 0.64, 52.5259686, 13.3143362, 65.24, 0.04341659, 82.05652, -0.071, 0, 1
GPS, 15698192, 0, 3, 221163399, 2252, 18, 0.64, 52.5259685, 13.3143362, 65.23, 0.02968165, 122.6192, -0.018, 0, 1
GPS, 15898207, 0, 3, 221163599, 2252, 18, 0.64, 52.5259684, 13.3143362, 65.21, 0.01972308, 210.4656, 0.051, 0, 1
GPS, 16098256, 0, 3, 221163799, 2252, 18, 0.64, 52.5259683, 13.3143361, 65.18, 0.01627882, 42.51044, -0.06, 0, 1
GPS, 16298123, 0, 3, 221163999, 2252, 18, 0.64, 52.5259682, 13.314336, 65.17, 0.03488553, 332.7004, 0.011, 0, 1
GPS, 16498146, 0, 3, 221164199, 2252, 18, 0.64, 52.5259681, 13.3143359, 65.16, 0.007615773, 246.8014, -0.056, 0, 1
GPS, 16698163, 0, 3, 221164399, 2252, 18, 0.64, 52.5259679, 13.3143359, 65.14, 0.03352611, 162.646, -0.05, 0, 1
GPS, 16898197, 0, 3, 221164599, 2252, 18, 0.64, 52.5259678, 13.3143359, 65.13, 0.02617251, 83.41805, -0.081, 0, 1
GPS, 17098163, 0, 3, 221164799, 2252, 18, 0.64, 52.5259676, 13.3143358, 65.11, 0.03905125, 219.8056, -0.003, 0, 1
GPS, 17298274, 0, 3, 221164999, 2252, 18, 0.64, 52.5259674, 13.3143357, 65.09, 0.005656855, 225, -0.029, 0, 1
GPS, 17498165, 0, 3, 221165199, 2252, 18, 0.64, 52.5259673, 13.3143357, 65.07, 0.02886174, 194.0363, -0.022, 0, 1
GPS, 17698176, 0, 3, 221165399, 2252, 18, 0.64, 52.5259672, 13.3143356, 65.05, 0.01414214, 351.8699, 0.021, 0, 1
GPS, 17898220, 0, 3, 221165599, 2252, 18, 0.64, 52.5259671, 13.3143356, 65.04, 0.009219545, 40.60129, -0.027, 0, 1
GPS, 18098141, 0, 3, 221165799, 2252, 18, 0.64, 52.5259669, 13.3143355, 65.01, 0.02385372, 236.9761, -0.046, 0, 1
GPS, 18318198, 0, 3, 221165999, 2252, 18, 0.64, 52.5259668, 13.3143354, 64.99, 0.01104536, 275.1944, -0.09900001, 0, 1
GPS, 18498187, 0, 3, 221166199, 2252, 18, 0.64, 52.5259667, 13.3143353, 64.97, 0.03649658, 279.4623, 0.021, 0, 1
GPS, 18698271, 0, 3, 221166399, 2252, 18, 0.64, 52.5259666, 13.3143353, 64.95, 0.03328663, 32.73522, -0.052, 0, 1
GPS, 18898130, 0, 3, 221166599, 2252, 18, 0.64, 52.5259664, 13.3143353, 64.94, 0.0358469, 247.0113, -0.027, 0, 1
GPS, 19098136, 0, 3, 221166799, 2252, 18, 0.64, 52.5259662, 13.3143352, 64.91, 0.02630589, 98.74615, -0.06500001, 0, 1
GPS, 19298156, 0, 3, 221166999, 2252, 18, 0.64, 52.5259661, 13.3143353, 64.88, 0.02247221, 57.72435, -0.019, 0, 1
GPS, 19498150, 0, 3, 221167199, 2252, 18, 0.64, 52.525966, 13.3143353, 64.86, 0.009219545, 40.60129, 0.028, 0, 1
GPS, 19698262, 0, 3, 221167399, 2252, 18, 0.64, 52.5259659, 13.3143353, 64.84, 0.01720465, 324.4623, -0.032, 0, 1
GPS, 19898162, 0, 3, 221167599, 2252, 18, 0.64, 52.5259657, 13.3143352, 64.82, 0.04318565, 227.8156, 0.003, 0, 1
GPS, 20077958, 0, 3, 221167799, 2252, 18, 0.64, 52.5259656, 13.3143352, 64.8, 0.02376973, 194.6209, -0.017, 0, 1
GPS, 20298164, 0, 3, 221167999, 2252, 18, 0.64, 52.5259655, 13.3143352, 64.77, 0.02459675, 333.4349, -0.104, 0, 1
GPS, 20498167, 0, 3, 221168199, 2252, 18, 0.64, 52.5259654, 13.3143352, 64.77, 0.01749286, 30.96376, -0.043, 0, 1
GPS, 20698155, 0, 3, 221168399, 2252, 18, 0.64, 52.5259654, 13.3143352, 64.75, 0.03014963, 5.710592, -0.029, 0, 1
GPS, 20898161, 0, 3, 221168599, 2252, 18, 0.64, 52.5259652, 13.3143351, 64.7, 0.03634557, 262.0928, 0.012, 0, 1
GPS, 21098139, 0, 3, 221168799, 2252, 18, 0.64, 52.5259651, 13.3143351, 64.67, 0.02080865, 125.2176, -0.02, 0, 1
